Product,ASIN,Announced,Size,Resolution,OS,Chipset,Memory,Rear Camera,Front Camera,Weight,Battery,URL
"Apple iPhone SE 64 GB Factory Unlocked, Silver (Certified Refurbished)",B01L1BOQUQ,"2016, March","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","iOS 9.3.2, upgradable to iOS 12",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","1.2 MP, f/2.4, 31mm (standard)",113 g (3.99 oz),1624 mAh,https://www.gsmarena.com/apple_iphone_se-7969.php
"Apple iPhone 7 , Fully Unlocked, 128GB - Silver (Certified Refurbished)",B01MYBA2SV,"2016, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 10.0.1, upgradable to iOS 12",Apple A10 Fusion,"32/128/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm (wide), 1/3"", OIS, PDAF","7 MP, f/2.2, 32mm (standard)",138 g (4.87 oz),1960 mAh,https://www.gsmarena.com/apple_iphone_7-8064.php
"Sony Xperia XZ3 Unlocked Smartphone - Xperia Ear Duo (Bundle), 64GB - 6.0"" OLED Screen - Black (US Warranty)",,"2018, August","6.0 inches, 92.9 cm2 (~80.5% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~537 ppi density)",Android 9.0 (Pie),Qualcomm SDM845 Snapdragon 845,"64 GB, 4 GB RAM or 64 GB, 6 GB RAM (Taiwan only)","19 MP, f/2.0, 25mm (wide), 1/2.3"", 1.22µm, predictive PDAF & laser AF","13 MP, f/1.9, 23mm (wide), 1/3"", 1.12µm",193 g (6.81 oz),3300 mAh,https://www.gsmarena.com/sony_xperia_xz3-9232.php
LG G4 H810 Metallic Grey GSM Unlocked Android 4G LTE 32GB Smartphone,B015EOD9KO,"2015, April","5.5 inches, 82.2 cm2 (~72.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~538 ppi density)","Android 5.1.1 (Lollipop), 6.0 (Marshmallow), planned upgrade to 7.0 (Nougat)",Qualcomm MSM8992 Snapdragon 808,"32 GB, 3 GB RAM","16 MP, f/1.8, 28mm (wide), 1/2.6"", 1.12µm, 3-axis OIS, laser AF","8 MP, f/2.0, 1/4"", 1.12µm",155 g (5.47 oz),3000 mAh,https://www.gsmarena.com/lg_g4-6901.php
Apple iPhone 7-32GB - GSM Unlocked - Black (Certified Refurbished),B078WYWVJG,"2016, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 10.0.1, upgradable to iOS 12",Apple A10 Fusion,"32/128/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm (wide), 1/3"", OIS, PDAF","7 MP, f/2.2, 32mm (standard)",138 g (4.87 oz),1960 mAh,https://www.gsmarena.com/apple_iphone_7-8064.php
"Apple iPhone 6S, GSM Unlocked, 16GB - Silver (Certified Refurbished)",B01CR2EUN6,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 12",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","5 MP, f/2.2, 31mm (standard)",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
Moto E5 Play â€“ 16 GB â€“ Unlocked (AT&T/T-Mobile) â€“ Black â€“ Prime Exclusive Phone,B07FRZKZBR,"2018, April","5.2 inches, 74.5 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Android 8.0 (Oreo),Qualcomm MSM8917 Snapdragon 425/ Qualcomm MSM8920 Snapdragon 427,"16 GB, 2 GB RAM","8 MP, f/2.0, 1.12 µm, AF",5 MP,150 g (5.29 oz),2800 mAh,https://www.gsmarena.com/motorola_moto_e5_play-9175.php
Apple iPhone 6 64GB Silver 4.7 4G LTE Factory Unlocked GSM Smartphone,B00TQXAYE4,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 12",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, PDAF","1.2 MP, f/2.2, 31mm (standard)",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
"Motorola XT1925-6 Factory Unlocked Phone - 5.7"" Screen - 32GB - Oyster Blush (U.S. Warranty)",B079ZF3633,,,,,,,,,,,
"Apple iPhone 6S, Fully Unlocked, 64GB - Space Gray (Certified Refurbished)",B06XR8G1TX,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 12",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","5 MP, f/2.2, 31mm (standard)",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,B00WHE2WCG,"2015, March","5.1 inches, 71.5 cm2 (~70.7% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~577 ppi density)","Android 5.0.2 (Lollipop), 7.0 (Nougat), planned upgrade to Android 8.0 (Oreo)",Exynos 7420 Octa,"32/64/128 GB, 3 GB RAM","16 MP, f/1.9, 28mm (wide), 1/2.6"", 1.12µm, OIS, AF","5 MP, f/1.9, 22mm (wide), 1/4.1"", 1.34µm",138 g (4.87 oz),2550 mAh,https://www.gsmarena.com/samsung_galaxy_s6-6849.php
Moto G Plus (5th Generation) - 32 GB - Unlocked (Lunar Gray) (Certified Refurbished),B0722R5PB7,"2017, February","5.2 inches, 74.5 cm2 (~67.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8953 Snapdragon 625,"32/64 GB, 2/4 GB RAM; 32 GB, 3 GB RAM","12 MP, f/1.7, dual pixel PDAF","5 MP, f/2.2",155 g (5.47 oz),3000 mAh,https://www.gsmarena.com/motorola_moto_g5_plus-8453.php
"BlackBerry KEY2 Silver Unlocked Android Smartphone (AT&T/T-Mobile) 4G LTE, 64GB",B07D7QKDCX,"2018, June","4.5 inches, 60.0 cm2 (~55.2% screen-to-body ratio)","1080 x 1620 pixels, 3:2 ratio (~434 ppi density)",Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660,"64/128 GB, 6 GB RAM","12 MP, f/1.8, 1/2.3"", 1.28µm, dual pixel PDAF
12 MP, f/2.6, 1/3.4"", 1.0µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm",168 g (5.93 oz),3500 mAh,https://www.gsmarena.com/blackberry_key2-9187.php
"Apple iPhone 6S, Fully Unlocked, 64GB - Silver (Certified Refurbished)",B06XRHJWNC,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 12",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","5 MP, f/2.2, 31mm (standard)",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
Apple iPhone 6 a1586 64GB Gold CDMA/GSM Unlocked (Certified Refurbished),B01J2T8JKC,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 12",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, PDAF","1.2 MP, f/2.2, 31mm (standard)",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
Moto E Plus (4th Generation) - 16 GB - Unlocked (AT&T/Sprint/T-Mobile/Verizon) - Iron Gray,B072ZZFJ65,"2017, June","5.5 inches, 83.4 cm2 (~69.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 7.1 (Nougat),Qualcomm MSM8920 Snapdragon 427,"16/32 GB, 2 GB RAM","13 MP, f/2.0, 1.12µm, AF","5 MP, f/2.2, 1/4"", 1.4µm",181 g (6.38 oz),5000 mAh,https://www.gsmarena.com/motorola_moto_e4_plus_(usa)-8666.php
