Rank,Vendor,Product,ASIN,Price,Star Rating,Reviews,Date,Time
77,BLU,"BLU R1 HD 2018 Factory Unlocked Phone - 5.2"" - 16GB - Black (U.S. Warranty)",B07C1VRLMT,99.99,3.1,101,2018-10-08,13:01
78,Samsung,Samsung Galaxy S9 Unlocked Smartphone - Coral Blue - US Warranty,B079JSZ1Z2,619.99,4.2,682,2018-10-08,13:01
79,BLU,"BLU Grand XL - Unlocked Smartphone -5.5"" Display, 8GB +1GB RAM -Gold",B077PWNJN9,59.99,2.7,47,2018-10-08,13:01
80,Motorola,Moto X (4th Generation) - with Amazon Alexa hands-free – 32 GB - Unlocked – Sterling Blue - Prime Exclusive,B077RNH9HT,249.99,3.8,264,2018-10-08,13:01
81,Nokia,"Nokia 7.1 - Android One (Pie) - 64 GB - 12+5 MP Dual Camera - Dual SIM Unlocked Smartphone (at&T/T-Mobile/MetroPCS/Cricket/H2O) - 5.84"" FHD+ HDR Screen - Steel - U.S. Warranty",n/a,349.0,,0,2018-10-08,13:01
82,LG,LG G6 – 32 GB – Unlocked (AT&T/T-Mobile/Verizon) – Black – Prime Exclusive,B07D2JL7TS,379.99,4.0,63,2018-10-08,13:01
83,Motorola,"Motorola MOTO G4 Play (4th Generation) 4G LTE Factory Unlocked Phone, 16GB, Black",B01MFDM6QE,99.72,3.6,40,2018-10-08,13:01
84,Forthery,Forthery Women Blouse 3/4 Sleeve Plaid Tunic Tops V Neck Split Blouse Clearance Sale,n/a,0.0,,0,2018-10-08,13:01
85,Apple,"Apple iPhone SE 64 GB  Unlocked, Gold (Certified Refurbished)",B01L1BOQTW,174.0,3.8,1048,2018-10-08,13:01
86,Apple,"Apple iPhone 6 Plus, GSM Unlocked, 16GB - Space Gray (Certified Refurbished)",B00YD54J8W,263.99,3.3,1255,2018-10-08,13:01
87,Apple,Apple iPhone 6S 16GB - GSM Unlocked - Space Gray (Certified Refurbished),B01CR2IA6Y,199.48,3.8,2512,2018-10-08,13:01
88,Samsung,Samsung Galaxy G550T On5 GSM Unlocked 4G LTE Android Smartphone - Black - (NOT FOR Metro PCS) (Certified Refurbished),B0796XDQF5,74.99,2.6,13,2018-10-08,13:01
89,Zte,Zte Maven 3 Unlocked 4g Lte Usa Latin & Caribbean Quad Core Z835 5mp Flash 8gb Android 7.1 LCD 5.0 Desbloqueado,B075Z5D45N,49.8,3.4,73,2018-10-08,13:01
90,Motorola,Moto Z3 Play – 64 GB – Unlocked (at&T/Sprint/T-Mobile/Verizon) – Deep Indigo – Prime Exclusive Phone,B07C37RCF4,469.99,4.1,108,2018-10-08,13:01
91,Apple,"Apple iPhone SE 64 GB Unlocked, Rose Gold (Certified Refurbished)",B01L1BOQT2,184.99,3.8,1048,2018-10-08,13:01
92,Samsung,"Samsung Galaxy J7 Prime (32GB) G610F/DS - 5.5"" Dual SIM Unlocked Phone with Finger Print Sensor (Black)",B01N4WGN48,205.7,3.6,1141,2018-10-08,13:01
93,Huawei,"Huawei Mate 10 Pro Unlocked Phone, 6"" 6GB/128GB, AI Processor, Dual Leica Camera, Water Resistant IP67, GSM Only - Mocha Brown (US Warranty)",B07C6FCC8G,499.99,4.4,362,2018-10-08,13:01
94,Samsung,Samsung Galaxy J8 (SM-J810Y/DS) 3GB / 32GB 6.0-inches LTE Dual SIM Factory Unlocked - International Stock No Warranty (Black),B07FTFV5LM,237.0,5.0,9,2018-10-08,13:01
95,, BRAND NEW APPLE IPHONE SE 32GB - AT&T (LOCKED) - GRAY - INCLUDES APPLE WARRANTY,B075X4DCW3,174.99,4.4,68,2018-10-08,13:01
96,Xiaomi,"Xiaomi Mi Mix 2 64GB Black, Dual Sim, 5.99"", 6GB RAM, GSM Unlocked Global Model, No Warranty",B079816Y5T,350.0,4.3,114,2018-10-08,13:01
97,Casio,Casio G'zOne C781 Ravine 2 Verizon Cell Phone / Rugged Flip Phone / Black,B00KSQ88U0,77.99,3.5,175,2018-10-08,13:01
98,Samsung,"Samsung Galaxy J2 Prime (16GB) 5.0"" 4G LTE GSM Dual SIM Factory Unlocked International Version, No Warranty G532M/DS (Gold)",B079J4PYXN,100.0,3.8,90,2018-10-08,13:01
99,Apple,"Apple iPhone 6 32 GB Unlocked, Space Gray",B071D2F6HH,155.15,3.2,3990,2018-10-08,13:01
100,Samsung,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",B01CYYYRNK,309.99,2.9,302,2018-10-08,13:01
