Rank,Vendor,Product,ASIN,Price,Star Rating,Reviews,Date,Time,,Announced,Size,Resolution,OS,Chipset,Memory,Rear Camera,Front Camera,Weight,Battery,URL
31,NUU,"NUU Mobile G3 5.7"" 64GB Unlocked Android Cell Phone - 4GB Ram Dual-SIM GSM 4G LTE - Dual Camera 13 MP Fingerprint ID Fast Charge",B079MBRDNN,199.99,3.3,263,2018-10-08,13:01,,,,,,,,,,,,
32,Samsung,"Samsung Galaxy J3 J327 (2017) 16GB Unlocked GSM 5"" HD Display Galaxy Express Prime 2 Smartphone - Dark Gray",B078KN66TJ,119.63,3.6,82,2018-10-08,13:01,,"2017, June","5.0 inches, 68.9 cm2 (~68.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 7.0 (Nougat),Exynos 7570 Quad,"16 GB, 2 GB RAM","13 MP, AF, f/1.9","5 MP, f/2.2",142 g (5.01 oz),2400 mAh,https://www.gsmarena.com/samsung_galaxy_j3_(2017)-8438.php
33,Alcatel,Alcatel Ideal Xcite 4G LTE Unlocked 5044R 5 inch 8GB Usa Latin & Caribbean Bands Android 7.0 IdealXcite,B0747WWP4D,55.99,3.7,91,2018-10-08,13:01,,,,,,,,,,,,
34,BLU,"BLU Pure View -32GB +3GB RAM, 5.7” HD+ 18:9 Display Smartphone with Dual Front Selfie Cameras -Black",B078X5MGL7,139.99,3.4,152,2018-10-08,13:01,,"2018, February","5.7 inches, 83.8 cm2 (~76.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",Android 7.0 (Nougat),Mediatek MT6753,"32 GB, 3 GB RAM","13 MP, 1/3"", 1.12ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","8 MP, 1/4"", 1.12ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm",184 g (6.49 oz),3000 mAh,https://www.gsmarena.com/blu_pure_view-9223.php
35,BLU,"BLU Life One X3 – 4G LTE Unlocked Smartphone with 5,000mAh Monster Battery -Black",B0784VB4JX,129.99,3.3,376,2018-10-08,13:01,,"2017, November","5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 7.0 (Nougat),Mediatek MT6753,"32 GB, 3 GB RAM","13 MP, 1/3"", 1.12ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm",13 MP,182 g (6.42 oz),5000 mAh,https://www.gsmarena.com/blu_life_one_x3-8946.php
36,Apple,"Apple iPhone 7 , Fully Unlocked, 128GB - Rose Gold (Certified Refurbished)",B01NCYY6OK,380.99,3.9,74,2018-10-08,13:01,,"2016, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 10.0.1, upgradable to iOS 12",Apple A10 Fusion,"32/128/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm (wide), 1/3"", OIS, PDAF","7 MP, f/2.2, 32mm (standard)",138 g (4.87 oz),1960 mAh,https://www.gsmarena.com/apple_iphone_7-8064.php
37,BLU,"BLU Grand XL - Unlocked Smartphone -5.5"" Display, 8GB +1GB RAM -Rose Gold",B074ZRWD4C,59.99,2.7,47,2018-10-08,13:01,,"2017, June","5.5 inches, 83.4 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 7.0 (Nougat),Mediatek MT6580,"8 GB, 1 GB RAM","8 MP, AF",5 MP,187 g (6.60 oz),2650 mAh,https://www.gsmarena.com/blu_grand_xl-8731.php
38,Apple,"Apple iPhone 7 32 GB Unlocked, Rose Gold (Certified Refurbished)",B01N9YOF3R,339.98,3.5,780,2018-10-08,13:01,,,,,,,,,,,,
39,Apple,"Apple iPhone 7 Plus, GSM Unlocked, 128GB - Rose Gold (Certified Refurbished)",B01N5XMF48,493.88,3.8,258,2018-10-08,13:01,,"2016, September","5.5 inches, 83.4 cm2 (~67.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","iOS 10.0.1, upgradable to iOS 11.4.1",Apple A10 Fusion,"32/128/256 GB, 3 GB RAM","12 MP, f/1.8, 28mm, 1/3"", OIS, PDAF
12 MP, f/2.8, 56mm, 1/3.6"", 2x optical zoom, AF","7 MP, f/2.2, 32mm",188 g (6.63 oz),2900 mAh,https://www.gsmarena.com/apple_iphone_7_plus-8065.php
40,BLU,BLU Tank II T193 Unlocked GSM Dual-SIM Cell Phone w/ Camera and 1900 mAh Big Battery - Unlocked Cell Phones - Retail Packaging - Black Red,B00O5EU7TQ,20.85,3.5,753,2018-10-08,13:01,,,,,,,,,,,,
41,Apple,"Apple iPhone 6S, Fully Unlocked, 64GB - Rose Gold (Certified Refurbished)",B06XRJQX91,273.98,3.6,265,2018-10-08,13:01,,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","5 MP, f/2.2, 31mm",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
42,Motorola,"Motorola Moto G6 Play Factory Unlocked Phone - 5.7"" Screen - 32GB - Deep Indigo (U.S. Warranty)",B079Z793SM,199.99,4.1,11,2018-10-08,13:01,,"2018, April","5.7 inches, 83.8 cm2 (~75.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Android 8.0 (Oreo), planned upgrade to Android 9.0 (Pie)",Qualcomm MSM8937 Snapdragon 430Qualcomm MSM8920 Snapdragon 427 - USA,"32 GB, 3 RAM or 16 GB, 2 GB RAM","13 MP, f/2.0, 1.12Ã‚Âµm, PDAF","5 MP (USA)
8 MP (other markets)",175 g (6.17 oz),4000 mAh,https://www.gsmarena.com/motorola_moto_g6_play-9002.php#usa
43,Apple,"Apple iPhone SE 16 GB Factory Unlocked, Space Gray (Certified Refurbished)",B01GXAT0BK,147.5,3.8,1048,2018-10-08,13:01,,"2016, March","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","iOS 9.3.2, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","1.2 MP, f/2.4, 31mm",113 g (3.99 oz),1624 mAh,https://www.gsmarena.com/apple_iphone_se-7969.php
44,Motorola,Moto X (4th Generation) - with Amazon Alexa hands-free – 32 GB - Unlocked – Super Black - Prime Exclusive,B077YNYFPD,249.99,3.8,285,2018-10-08,13:01,,"2017, August","5.2 inches, 74.5 cm2 (~68.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","Android 7.1 (Nougat), upgradable to Android 8.1 (Oreo); Android One",Qualcomm SDM630 Snapdragon 630,"64 GB, 4/6 GB RAM or 32 GB, 3 GB RAM","12 MP, f/2.0, 1.4ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, dual pixel PDAF
8 MP, f/2.2, 1.12ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, no AF","16 MP, f/2.0, 1.0ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm",163 g (5.75 oz),3000 mAh,https://www.gsmarena.com/motorola_moto_x4-8634.php#xt1900-1
